S 00632 0 1 00634 0000110D 00003FCA 00001AAF 000051D7 0000E179 0000106A 0000C5D4 00007DC5 003E422D 003E41BA 003E40C1 003E42D7 003E40C6 003E431F 003E5200 90E60A8E
S 00642 0 1 00646 00005FD9 0000F057 0000062E 0000C282 0000143F 0000B26F 00000655 0000209B 003E4151 003E41D1 003E4190 003E4263 003E4148 003E412D 003E5200 48BFF504
S 00646 0 1 00648 0000233C 00005C1E 0000BD87 0000F5EF 000025FE 0000D286 0000C4FF 00009D7B 003E42ED 003E42C3 003E4246 003E418C 003E42DF 003E42A1 003E5200 97963F83
S 0064A 0 1 00650 0000BA4F 000084D0 0000A517 0000B50C 0000CA15 00002D28 000004D5 00008651 003E4018 003E4038 003E42AE 003E41BF 003E4164 003E405D 003E5200 B6C5AAD1
S 00656 0 1 133B2 00007E69 00002517 0000B0AD 0000B274 0000A938 00006A41 00005A56 00004FC0 003E4351 003E4193 003E425E 003E4180 003E4189 003E407F 003E5200 BCC09671
S 00660 0 1 00666 000042D3 00006B9A 0000ADBD 000002E7 0000DCD7 00001BA3 0000E4FB 0000E23D 003E0844 003E4199 003E40CD 003E40E7 003E4271 003E407D 003E5200 7CF2D441
S 00686 0 1 0068A 00003B63 000023E3 0000C028 0000F177 00000CD7 0000249E 00001822 0000DE65 003E4014 003E4364 003E419A 003E4341 003E40F7 003E41B7 003E5200 BF70BC6B
S 00778 0 1 0077C 000099E0 0000A946 0000E2CD 0000EAEA 00003D82 0000BB3A 00002832 0000D207 003E4202 003E4275 003E4088 003E42CD 003E4234 003E40E5 003E4FE8 76FB7A9F
S 008B4 0 1 008B8 0000BCFC 000085E3 0000BD11 0000DBAF 000062C2 00005670 0000E1F0 00006BAE 003E4050 003E41B3 003E404B 003E42CA 003E4161 003E4217 003E4FE8 5A040FF8
S 00A20 0 1 00A24 0000BC74 0000D41E 00008B47 0000D0DD 0000CB89 00000F44 00009012 000007C8 003E4253 003E41DE 003E4246 003E42F5 003E4070 003E431E 003E4FE8 F8506A70
S 00BC2 0 1 00BC6 00009C55 00009981 0000309F 0000CE05 0000ED56 00002C41 0000AF50 00007C14 003E40FB 003E4052 003E42DA 003E4050 003E4121 003E41FF 003E4FE8 031A2BCE
S 00CAC 0 1 00CB0 000023CE 00000B3C 0000BC34 0000D951 00002172 00004E3A 00002327 0000D2ED 003E4032 003E4114 003E41BF 003E40D0 003E40CC 003E4241 003E4FE8 9827774E
S 00D9A 0 1 00D9C 0000DB6F 0000C02C 00000BCA 0000C5A5 0000F606 0000F097 0000704C 00004987 003E410A 003E429D 003E4130 003E4188 003E41B1 003E42CB 003E5200 BAEB1998
S 00DDA 0 1 00DDE 00001357 0000A8CC 00000743 000056FE 0000C32B 00002794 0000316A 0000E539 003E401B 003E4375 003E4283 003E4241 003E41CC 003E4256 003E5200 A91DB85C
S 00E4E 0 1 00E52 00001CCD 000002C1 00008EDC 000053CE 0000EE51 00007845 00009C9B 00009D62 003E40F6 003E4043 003E416D 003E42C0 003E411C 003E432D 003E4FE8 564C4366
S 00FB4 0 1 00FB6 00006C12 000080A0 00000D79 00000000 0000E4D9 000001DF 000002E8 00001BCE 003E4161 003E4197 003E40B8 003E4163 003E430C 003E418E 003E5200 6938208E
